Call Ratio,Average Call Distance,Life,Max Distance,Max Date,Min Date,No of Days,Total No In,Total No Out,Total Cost,Total Duration In,Total Duration Out
0.35,2.704,13,18.71,734494,734413,26,30,16,26868,1025,1271
0.43,3.003,16,14.919,734492,734414,22,26,20,17032,763,949
0.48,0.061,85,3.005,734502,734411,87,1484,1394,779508,65182,54075
0.58,0.485,72,5.008,734502,734412,82,238,328,190048,11710,11680
0.41,1.193,32,5.019,734501,734433,42,57,40,65664,2089,1184
0.45,3.389,13,23.982,734490,734429,16,18,15,7376,474,526
0.55,0.779,60,4.019,734501,734411,61,95,116,76528,3828,4030
0.67,1.577,35,10.931,734497,734412,39,27,54,29008,1324,2704
0.47,0.188,65,4.01,734502,734411,73,480,423,214484,22023,14154
0.42,5.408,10,24.974,734494,734413,13,15,11,9608,508,426
0.48,0.491,68,4.009,734501,734411,69,181,169,93316,7351,5960
0.45,3.79,20,19.954,734499,734412,24,23,19,196908,784,909
0.54,0.73,61,5.017,734502,734411,63,108,125,53736,4473,3703
0.44,2.026,30,9.035,734501,734416,30,41,32,80204,1607,1146
0.56,1.077,41,6.185,734499,734411,44,64,82,69228,2225,2981
0.49,0.079,90,3.003,734502,734411,94,1140,1083,590316,54743,43293
0.46,5.816,13,20.213,734498,734411,14,15,13,60200,779,651
0.48,0.193,79,3.003,734500,734411,79,461,424,248656,23933,15984
0.48,0.443,69,4.016,734501,734411,75,202,188,139548,10561,9090
0.54,0.701,56,4.012,734499,734411,56,107,126,96448,3554,5416
0.51,0.255,81,3.01,734500,734412,84,332,346,234164,15995,14122
0.45,0.303,73,4.017,734502,734411,75,292,243,155312,14017,10160
0.47,1.304,33,7.884,734497,734424,41,56,50,60692,2443,3008
0.48,0.316,61,5.058,734499,734411,64,280,263,166056,14131,10682
0.53,0.352,77,3.01,734502,734414,80,225,250,137896,8096,9836
0.47,1.176,43,5.018,734500,734411,48,72,63,34412,4129,1701
0.47,0.762,54,4.017,734501,734412,60,117,104,45772,4639,2894
0.48,1.051,44,8.073,734500,734411,46,84,76,60132,4295,2571
0.52,0.689,56,6.196,734500,734412,57,116,128,99984,3813,5203
0.48,0.895,53,5.033,734501,734411,55,101,93,61204,4131,3772
0.46,1.027,40,7.703,734494,734413,43,78,66,44068,3225,2126
0.48,0.389,61,6.019,734500,734411,61,229,208,132548,10556,8212
0.48,0.772,53,9.039,734501,734411,54,117,107,52736,6800,3710
0.44,2.522,26,11.072,734499,734411,27,35,27,28960,1875,1486
0.47,0.665,51,11.033,734501,734411,52,136,122,65852,6269,4120
0.46,2.003,27,13.047,734500,734412,29,43,37,15588,2813,1443
0.52,1.39,33,8.033,734498,734412,39,57,62,44968,2263,2401
0.48,0.828,54,9.028,734501,734411,55,109,99,56748,5430,2624
0.47,1.605,33,7.909,734499,734411,33,55,48,36256,2222,1551
0.44,2.1,23,11.051,734499,734413,24,41,32,21208,2431,784
0.47,1.484,33,9.167,734500,734417,39,55,49,16068,2231,1173
0.49,0.581,59,4.004,734499,734411,62,149,142,86236,7378,5302
0.46,1.016,49,7.917,734500,734411,49,88,75,99524,4648,2727
0.57,1.263,43,10.926,734499,734412,44,52,69,126920,1547,3931
0.46,1.531,33,6.708,734495,734417,36,51,44,66816,1615,3157
0.45,1.158,44,5.018,734501,734411,44,78,63,37076,3593,2523
0.49,0.286,74,3.864,734499,734412,76,302,288,301856,11866,18312
0.47,0.319,77,3.008,734500,734411,81,267,235,120108,11751,10901
0.47,0.938,45,6.859,734496,734411,46,91,82,66072,3166,2680
0.42,1.243,30,10.889,734492,734415,41,62,44,16580,4258,1299
0.48,0.278,82,3.008,734501,734411,85,323,302,160076,14024,10843
0.47,1.116,44,5.022,734501,734411,45,81,71,45816,3613,2159
0.48,0.491,55,4.028,734499,734411,65,180,163,70316,6809,5546
0.38,4.227,12,31,734490,734414,14,18,11,7160,461,410
0.38,0.612,46,7.023,734500,734411,56,145,88,81284,5222,5109
0.53,1.103,47,6.015,734500,734411,49,73,81,59972,3173,3081
0.54,1.383,39,7.022,734502,734415,41,54,63,46704,2276,1797
0.37,2.178,19,22.121,734500,734413,24,40,23,32396,1506,491
0.48,0.295,81,4.013,734500,734411,81,300,279,172308,12258,9021
0.51,1.05,50,6.013,734500,734412,51,80,84,81784,2832,3998
0.51,0.573,61,5.019,734500,734411,63,151,156,76464,7681,5361
0.48,0.505,64,5.014,734500,734411,67,177,166,93192,8073,5845
0.49,0.59,61,5.015,734502,734411,61,153,148,95424,7449,6771
0.47,0.621,52,7.019,734500,734412,56,141,123,123240,5917,7817
0.43,2.029,25,15.07,734491,734416,29,36,27,24960,1452,1225
0.44,0.812,55,4.84,734500,734411,58,109,85,77216,4667,3331
0.36,1.469,16,9.079,734495,734426,33,47,26,24800,1870,1127
0.51,0.745,58,4.015,734502,734412,66,117,121,76864,4596,4915
0.43,1.063,41,5.017,734499,734412,44,82,62,60128,3982,2082
0.45,0.255,62,6.019,734502,734411,65,359,292,192648,14560,12901
0.52,0.883,49,6.019,734500,734411,55,93,101,38924,3792,2792
0.46,1.193,37,18.108,734499,734411,37,74,64,39592,3950,2563
0.51,0.465,72,3.009,734500,734411,76,184,192,122976,7992,7121
0.39,1.44,24,10.034,734496,734414,35,57,37,21276,2702,768
0.43,1.441,38,13.065,734500,734411,41,62,47,45140,1651,1253
0.48,1.276,40,10.903,734500,734411,44,70,64,111728,3058,3239
0.48,0.621,55,12.043,734500,734411,60,144,134,125896,8176,8100
0.49,0.98,52,6.011,734500,734412,54,90,87,53892,4358,3398
0.48,0.522,62,4.016,734500,734411,67,170,158,175928,6079,10936
0.44,0.236,73,4.017,734500,734411,75,379,299,167956,13861,12924
0.48,1.003,46,9.029,734500,734411,50,89,81,85892,5576,2465
0.52,1.428,34,10.03,734501,734414,38,57,61,31576,1951,1639
0.47,1.464,27,13.669,734488,734412,37,52,47,60260,1873,1344
0.46,2.414,27,9.028,734500,734411,29,37,32,23808,1381,865
0.51,0.321,76,3.011,734502,734411,82,275,284,159032,11526,11018
0.49,1.027,55,5.016,734501,734411,57,88,83,60288,3100,2217
0.48,0.329,58,10.033,734501,734411,61,275,252,226924,12989,11909
0.49,0.791,47,5.012,734500,734411,58,112,109,100948,4131,3256
0.49,0.622,60,8.031,734499,734411,62,142,135,94456,5314,5128
0.51,0.499,66,4.01,734502,734411,69,174,183,116128,8735,6950
0.49,0.377,76,3.032,734500,734411,80,237,227,187624,12425,10354
0.48,0.174,78,3.008,734500,734411,78,513,479,301168,23823,14784
0.49,0.583,61,5.019,734501,734411,65,155,148,74160,9322,4885
0.48,0.756,51,4.026,734500,734411,65,118,111,120052,4976,6360
0.5,0.19,85,3.008,734502,734411,89,481,472,250640,20616,17834
0.49,0.138,86,3.006,734501,734411,87,653,635,341860,26389,24432
0.53,0.739,59,5.018,734500,734411,59,106,121,77152,4629,3798
0.46,0.617,56,5.892,734500,734412,61,143,124,62488,7966,4407
0.46,0.816,52,5.031,734500,734412,58,108,91,131172,6170,4219
0.52,0.421,65,4.026,734499,734411,70,191,210,157680,10017,9451
0.51,0.571,71,3.009,734502,734412,71,153,158,88688,6226,5141
0.48,0.692,60,4.013,734502,734411,66,132,122,72976,5761,3759
0.49,0.176,80,3.008,734500,734411,82,509,494,285096,22123,16403
